gene	KEGG_ko
gene1	K21079
gene2	K18959
gene3	K10543
gene4	K08356
gene5	K26048
gene6	K13573
gene7	K07114
gene8	K10026
gene9	K00809
gene10	K22007
gene11	K00410
gene12	K02407
gene13	K01585
gene14	K06158
gene15	K01737
gene16	K00937
gene17	K01480
gene18	K02199
gene19	K04759
gene20	K02406
gene21	K02558
gene22	K26043
gene23	K06137
gene24	K07101
gene25	K02316
gene26	K08364
gene27	K21024
gene28	K08355
gene29	K24282
gene30	K17226
gene31	K00639
gene32	K00767
gene33	K13021
gene34	K15789
gene35	K05844
gene36	K02965
gene37	K15057
gene38	K15899
gene39	K13048
gene40	K00648
gene41	K03517
gene42	K03687
gene43	K03325
gene44	K03609
gene45	K21211
gene46	K24305
gene47	K26061
gene48	K00830
gene49	K06603
gene50	K02860
gene51	K18430
gene52	K13010
gene53	K03592
gene54	K02670
gene55	K11959
gene56	K03787
gene57	K07075
gene58	K15913
gene59	K25818
gene60	K15894
gene61	K13006
gene62	K07514
gene63	K14163
gene64	K18263
gene65	K00344
gene66	K01669
gene67	K07082
gene68	K07315
gene69	K08316
gene70	K12513
gene71	K01457
gene72	K17227
gene73	K01207
gene74	K03775
gene75	K01185
gene76	K00754
gene77	K03704
gene78	K01462
gene79	K22874
gene80	K01997
gene81	K03087
gene82	K01998
gene83	K06138
gene84	K13017
gene85	K16074
gene86	K11933
gene87	K03279
gene88	K00554
gene89	K07263
gene90	K18133
gene91	K03320
gene92	K07317
gene93	K01599
gene94	K00860
gene95	K07221
gene96	K05786
gene97	K04335
gene98	K00074
gene99	K23124
gene100	K01857
gene101	K00235
gene102	K00703
gene103	K07507
gene104	K23439
gene105	K16943
gene106	K02040
gene107	K01055
gene108	K24344
gene109	K11069
gene110	K13001
gene111	K00764
gene112	K00013
gene113	K12510
gene114	K14407
gene115	K03406
gene116	K01479
gene117	K00655
gene118	K25450
gene119	K03799
gene120	K04017
gene121	K13993
gene122	K18297
gene123	K03769
gene124	K19707
gene125	K01153
gene126	K16296
gene127	K19813
gene128	K07453
gene129	K07262
gene130	K02196
gene131	K07160
gene132	K02052
gene133	K24302
gene134	K15896
gene135	K04758
gene136	K00939
gene137	K00255
gene138	K09930
gene139	K01759
gene140	K03563
gene141	K03979
gene142	K08832
gene143	K13991
gene144	K11942
gene145	K09667
gene146	K02198
gene147	K22944
gene148	K02274
gene149	K00164
gene150	K02012
gene151	K15986
gene152	K02169
gene153	K03208
gene154	K12511
gene155	K15103
gene156	K01406
gene157	K03590
gene158	K00824
gene159	K02387
gene160	K09987
gene161	K19701
gene162	K01174
gene163	K01640
gene164	K00602
gene165	K00033
gene166	K16436
gene167	K02959
gene168	K19711
gene169	K00858
gene170	K09011
gene171	K08320
gene172	K07303
gene173	K03296
gene174	K01139
gene175	K03773
gene176	K00060
gene177	K00012
gene178	K05526
gene179	K26179
gene180	K14060
gene181	K16705
gene182	K09470
gene183	K01899
